country_id,country_name
1,Algeria
2,American Samoa
3,Andorra
4,Argentina
5,Australia
6,Austria
7,Bahamas
8,Barbados
9,Belgium
10,Bermuda
11,Bosnia and Herzegovina
12,Botswana
13,Brazil
14,Bulgaria
15,Burkina Faso
16,Burundi
17,Cameroon
18,Canada
19,Cayman Islands
20,Chile
21,Chinese Taipei
22,Colombia
23,Cook Islands
24,Costa Rica
25,Cote D'Ivoire
26,Croatia
27,Czech Republic
28,Denmark
29,England
30,Eswatini
31,Fiji
32,Finland
33,France
34,Georgia
35,Germany
36,Ghana
37,Greece
38,Guam
39,Guyana
40,Hong Kong
41,Hungary
42,India
43,Indonesia
44,"Iran, Islamic Republic of"
45,Ireland
46,Israel
47,Italy
48,Jamaica
49,Japan
50,Kazakhstan
51,Kenya
52,Korea
53,Laos People's Democratic Republic
54,Latvia
55,Lithuania
56,Luxembourg
57,Madagascar
58,Malaysia
59,Malta
60,Mauritius
61,Mexico
62,"Moldova, Republic of"
63,Monaco
64,Morocco
65,Namibia
66,Netherlands
67,New Zealand
68,Nigeria
69,Niue Island
70,Norway
71,Pakistan
72,Papua New Guinea
73,Paraguay
74,People's Republic of China
75,Peru
76,Philippines
77,Poland
78,Portugal
79,Romania
80,Russian Federation
81,Rwanda
82,Samoa
83,Scotland
84,Senegal
85,Serbia
86,Singapore
87,Slovenia
88,Solomon Islands
89,South Africa
90,Spain
91,Sri Lanka
92,St Vincent and the Grenadines
93,Sweden
94,Switzerland
95,Thailand
96,Tonga
97,Trinidad & Tobago
98,Tunisia
99,Uganda
100,Ukraine
101,United Arab Emirates
102,United States
103,Uruguay
104,Uzbekistan
105,Vanuatu
106,Venezuela
107,Wales
108,Zambia
109,Zimbabwe
